"profile","region","currency","current_component","current_owner_repo","aws_service_candidate","required_for_pilot","quantity_name","monthly_quantity","unit","assumption_basis","pricing_status","notes"
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda or static S3/CloudFront, replacing always-on ECS Fargate for this estimate","no","frontend_compute_vcpu_hours","0","vCPU-hours","Public frontend no longer modeled as always-on Fargate; static assets use S3/CloudFront and dynamic rendering can use Lambda.","quantity_only","Original always-on frontend container cost removed from early-stage estimate."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda or static S3/CloudFront, replacing always-on ECS Fargate for this estimate","no","frontend_compute_memory_gb_hours","0","GB-hours","Public frontend no longer modeled as always-on Fargate; no frontend Fargate memory hours counted.","quantity_only","Original always-on frontend container cost removed from early-stage estimate."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon S3 plus Amazon RDS for lead/contact data if dynamic capture remains","yes","frontend_persistence_storage","20","GB-month","Lead/contact/search persistence stays in managed storage; static website assets are tracked separately under S3/CloudFront.","quantity_only","If lead/contact capture moves fully into an API service, this row can be merged into the shared RDS estimate."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon CloudFront with S3 origin","yes","frontend_static_and_video_egress","100","GB/month","100 GB/month CloudFront data transfer out, based on 2,000 page hits/day and a rounded 1.5-1.7 MB average delivered page/assets allowance.","quantity_with_price_source","CDN data transfer is estimated as an individual CloudFront line item; replace with measured page weight later."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon CloudFront","yes","frontend_https_requests","60000","requests/month","2,000 page hits/day * 30 days = 60,000 CloudFront HTTPS requests/month.","quantity_with_price_source","Request cost is small compared with CloudFront egress."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda","deployment-dependent","frontend_lambda_requests","60000","requests/month","2,000 dynamic frontend/lead/contact invocations/day * 30 days = 60,000 Lambda requests/month.","quantity_with_price_source","Set to zero if public frontend is purely static and dynamic lead/contact APIs live in another backend."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda","deployment-dependent","frontend_lambda_gb_seconds","3072","GB-seconds/month","60,000 invocations * 256 MB * 200 ms average duration.","quantity_with_price_source","Refine after profiling actual Go-rendered dynamic routes."
"commercial_pilot","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon S3","yes","frontend_static_asset_storage","1","GB-month","Static website build artifacts and public assets stored in S3 origin.","quantity_with_price_source","Small compared with CloudFront egress."
"commercial_pilot","ap-southeast-1","USD","Cost model basis","platform/operator","Planning assumption","yes","end_users","2500","users","2,500 users in first commercial-pilot estimate.","quantity_tracking_only","Used for per-user cost calculation; device total remains 10,000."
"commercial_pilot","ap-southeast-1","USD","Cost model basis","platform/operator","Planning assumption","yes","devices_per_user","4","devices/user","4 registered devices per user.","quantity_tracking_only","2,500 users * 4 devices/user = 10,000 registered devices."
"commercial_pilot","ap-southeast-1","USD","Cost allocation basis","platform/operator","Planning assumption","yes","user_cost_weight","0.10","ratio","Default weighted allocation assigns 10 percent of shared AWS cost to user-driven account app admin audit and session surfaces.","quantity_tracking_only","Do not add raw per-user and per-device costs together; this weight splits one shared monthly cost pool."
"commercial_pilot","ap-southeast-1","USD","Cost allocation basis","platform/operator","Planning assumption","yes","device_cost_weight","0.90","ratio","Default weighted allocation assigns 90 percent of shared AWS cost to device-driven MQTT shadow telemetry logs firmware certificates storage and device API workload.","quantity_tracking_only","Recommended default allocation for RTK Cloud device-dominant economics."
"commercial_pilot","ap-southeast-1","USD","Cost allocation sensitivity","platform/operator","Planning assumption","no","device_heavy_user_cost_weight","0.05","ratio","Aggressive device-heavy sensitivity case for fleet-first deployments with minimal user app activity.","quantity_tracking_only","Use only as sensitivity; default remains 0.10 user and 0.90 device."
"commercial_pilot","ap-southeast-1","USD","Cost allocation sensitivity","platform/operator","Planning assumption","no","device_heavy_device_cost_weight","0.95","ratio","Aggressive device-heavy sensitivity case for fleet-first deployments with minimal user app activity.","quantity_tracking_only","Use only as sensitivity; default remains 0.10 user and 0.90 device."
"commercial_pilot","ap-southeast-1","USD","AWS Support and consulting","platform/operator","AWS Business Support+","yes","support_business_plus_monthly_fee","217.91","USD/month","Default support adder for the one-CloudHSM pilot scenario: max(29 USD/month per account, tiered percent of 2421.18 USD gross monthly AWS charges). Current tier is 9 percent because usage is below 10k USD/month.","quantity_with_price_source","AWS Support is a monthly plan fee, not a per-ticket fee; Business Support+ is the minimum production-workload support plan in this estimate."
"commercial_pilot","ap-southeast-1","USD","AWS Support and consulting","platform/operator","AWS Enterprise Support","no","support_enterprise_minimum","5000","USD/month","Optional sensitivity if the deployment needs designated TAM coverage or business-critical escalation; official pricing is the greater of 5000 USD/month or tiered percentage of gross AWS charges.","quantity_with_price_source","Not included in default pilot estimate because the minimum support charge exceeds the infrastructure baseline."
"commercial_pilot","ap-southeast-1","USD","AWS Support and consulting","platform/operator","AWS Countdown Premium","no","countdown_premium_project_month","10000","USD/project-month","Optional launch migration or peak-event support subscription available for Business Support+ and Enterprise Support customers at 10000 USD per project per month.","quantity_with_price_source","Use only for planned launch or migration events; included with Unified Operations at no additional cost."
"commercial_pilot","ap-southeast-1","USD","AWS Support and consulting","platform/operator","AWS Marketplace Professional Services private offer","no","marketplace_professional_services_quote","0","quote","Quote-required consulting support; Marketplace professional services use negotiated scope price and payment terms through private offers, not a public fixed unit price.","quote_required","Track separately from recurring AWS infrastructure and support-plan cost."
"commercial_pilot","ap-southeast-1","USD","Admin dashboard","rtk_cloud_admin","Amazon ECS on Fargate","yes","admin_compute_vcpu_hours","730","vCPU-hours","2 tasks * 0.5 vCPU * 730 hours","quantity_only","Go BFF serving React SPA."
"commercial_pilot","ap-southeast-1","USD","Admin dashboard","rtk_cloud_admin","Amazon ECS on Fargate","yes","admin_compute_memory_gb_hours","1460","GB-hours","2 tasks * 1 GB * 730 hours","quantity_only","Memory quantity for admin BFF tasks."
"commercial_pilot","ap-southeast-1","USD","Admin dashboard","rtk_cloud_admin","Amazon RDS for PostgreSQL","yes","admin_local_state_storage","20","GB-month","Migrates console-local sessions settings audit and cache state from SQLite for shared pilot deployment.","quantity_only","Use EFS as a lower-change comparison if SQLite remains file-backed."
"commercial_pilot","ap-southeast-1","USD","Account manager API","rtk_account_manager","Amazon ECS on Fargate","yes","account_api_compute_vcpu_hours","1460","vCPU-hours","2 tasks * 1 vCPU * 730 hours","quantity_only","Long-running Go API service."
"commercial_pilot","ap-southeast-1","USD","Account manager API","rtk_account_manager","Amazon ECS on Fargate","yes","account_api_compute_memory_gb_hours","2920","GB-hours","2 tasks * 2 GB * 730 hours","quantity_only","Memory quantity for account manager API tasks."
"commercial_pilot","ap-southeast-1","USD","PostgreSQL for account manager and video cloud","platform/operator with shared schemas for rtk_account_manager and rtk_video_cloud","Amazon RDS for PostgreSQL","yes","account_db_instance_hours","730","DB instance-hours","1 shared Single-AZ RDS PostgreSQL db.t4g.large writer instance for account and video schemas.","quantity_only","Early-stage estimate keeps application databases on one DB server; split instances can be added in a later isolation/HA profile."
"commercial_pilot","ap-southeast-1","USD","PostgreSQL for account manager and video cloud","platform/operator with rtk_account_manager schema ownership","Amazon RDS for PostgreSQL","yes","account_db_storage","100","GB-month","Identity tenant registry provisioning and outbox inbox state for 10k devices.","quantity_only","First-pass storage assumption."
"commercial_pilot","ap-southeast-1","USD","Account manager workers","rtk_account_manager","Amazon ECS on Fargate","yes","account_worker_compute_vcpu_hours","730","vCPU-hours","2 workers * 0.5 vCPU * 730 hours","quantity_only","Outbox inbox lifecycle and cleanup workers."
"commercial_pilot","ap-southeast-1","USD","Account manager workers","rtk_account_manager","Amazon ECS on Fargate","yes","account_worker_memory_gb_hours","1460","GB-hours","2 workers * 1 GB * 730 hours","quantity_only","Memory quantity for account workers."
"commercial_pilot","ap-southeast-1","USD","Video cloud API","rtk_video_cloud","Amazon ECS on Fargate","yes","video_api_compute_vcpu_hours","2920","vCPU-hours","2 tasks * 2 vCPU * 730 hours","quantity_only","Device app HTTP API WebRTC signaling and MQTT-adjacent server process."
"commercial_pilot","ap-southeast-1","USD","Video cloud API","rtk_video_cloud","Amazon ECS on Fargate","yes","video_api_compute_memory_gb_hours","5840","GB-hours","2 tasks * 4 GB * 730 hours","quantity_only","Memory quantity for Video Cloud API tasks."
"commercial_pilot","ap-southeast-1","USD","PostgreSQL for account manager and video cloud","platform/operator with rtk_video_cloud schema ownership","Amazon RDS for PostgreSQL","no","video_db_instance_hours","0","DB instance-hours","Included in shared RDS PostgreSQL server counted by account_db_instance_hours.","quantity_only","Separate video DB instance removed from early-stage estimate."
"commercial_pilot","ap-southeast-1","USD","PostgreSQL for account manager and video cloud","platform/operator with rtk_video_cloud schema ownership","Amazon RDS for PostgreSQL","yes","video_db_storage","150","GB-month","Activation runtime metadata firmware telemetry and notification state.","quantity_only","Excludes optional separate log DB."
"commercial_pilot","ap-southeast-1","USD","Video cloud workers","rtk_video_cloud","Amazon ECS on Fargate","yes","video_worker_compute_vcpu_hours","2555","vCPU-hours","7 worker services * 0.5 vCPU * 730 hours","quantity_only","Cleaner statistics metricsexporter logingester turnregistry crossservice certissuer."
"commercial_pilot","ap-southeast-1","USD","Video cloud workers","rtk_video_cloud","Amazon ECS on Fargate","yes","video_worker_memory_gb_hours","5110","GB-hours","7 worker services * 1 GB * 730 hours","quantity_only","Memory quantity for Video Cloud workers."
"commercial_pilot","ap-southeast-1","USD","Optional Video Cloud log database","rtk_video_cloud","Amazon RDS for PostgreSQL","no","video_log_db_instance_hours","0","DB instance-hours","Logs go to CloudWatch in this estimate; no separate log database server.","quantity_only","Separate log DB instance removed from early-stage estimate."
"commercial_pilot","ap-southeast-1","USD","Optional Video Cloud log database","rtk_video_cloud","Amazon RDS for PostgreSQL","no","video_log_db_storage","0","GB-month","Logs go to CloudWatch in this estimate; no log database storage.","quantity_only","Log retention is accounted through CloudWatch log ingestion/retention assumptions, not RDS."
"commercial_pilot","ap-southeast-1","USD","Object/blob storage","platform/operator","Amazon S3","no","snapshot_storage","0","GB-month","No camera-capable devices in first estimate; snapshot storage excluded.","quantity_only","Camera/snapshot profile can be added later."
"commercial_pilot","ap-southeast-1","USD","Object/blob storage","platform/operator","Amazon S3","no","snapshot_put_requests","0","PUT requests/month","No camera-capable devices in first estimate; snapshot writes excluded.","quantity_only","Camera/snapshot profile can be added later."
"commercial_pilot","ap-southeast-1","USD","Object/blob storage","platform/operator","Amazon S3","yes","firmware_binary_storage","1","GB-month","1 firmware release/month * 50 MB binary with storage headroom.","quantity_only","Rounded up for worksheet simplicity."
"commercial_pilot","ap-southeast-1","USD","Object/blob storage","platform/operator","Amazon S3","yes","firmware_delivery_egress","50","GB/month","50 MB firmware * 1000 target devices.","quantity_only","Does not include CDN cache effects."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_registered_devices","10000","things","10k registered devices.","quantity_only","Primary MQTT estimate uses AWS IoT Core."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_average_connected_devices","10000","connected devices","100 percent average online baseline for first estimate; devices are assumed mostly connected unless measured telemetry says otherwise.","quantity_only","Changed from 30 percent after review; use measured product data to adjust later."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_peak_connected_devices","10000","connected devices","Peak connected devices equal registered device count in first estimate.","quantity_only","No over-subscription above registered device count."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_mqtt_metering_increment","5","KB","AWS IoT Core MQTT and HTTP messages are metered in 5 KB increments up to 128 KB.","quantity_tracking_only","Billing units per publish or delivery should be ceil(payload_size_kb / 5)."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_telemetry_avg_payload_size","1","KB/message","First-pass telemetry/status payloads are assumed to fit within one 5 KB metered message unit.","quantity_tracking_only","If measured payloads exceed 5 KB, multiply raw message count by ceil(payload_size_kb / 5)."
